Color Index,Value (dBZ),Red,Green,Blue,HEX
0,,0,0,0,#000000
1,-32,133,113,143,#85718f
2,-31.5,133,114,143,#85728f
3,-31,134,115,141,#86738d
4,-30.5,135,117,139,#87758b
5,-30,135,118,139,#87768b
6,-29.5,136,119,137,#887789
7,-29,137,121,135,#897987
8,-28.5,137,122,135,#897a87
9,-28,138,123,133,#8a7b85
10,-27.5,139,125,132,#8b7d84
11,-27,139,126,132,#8b7e84
12,-26.5,140,127,130,#8c7f82
13,-26,141,129,128,#8d8180
14,-25.5,141,130,128,#8d8280
15,-25,142,131,126,#8e837e
16,-24.5,143,132,124,#8f847c
17,-24,143,133,124,#8f857c
18,-23.5,144,135,123,#90877b
19,-23,145,136,121,#918879
20,-22.5,145,137,121,#918979
21,-22,146,139,119,#928b77
22,-21.5,147,141,117,#938d75
23,-21,150,145,83,#969153
24,-20.5,152,148,87,#989457
25,-20,155,151,91,#9b975b
26,-19.5,157,154,96,#9d9a60
27,-19,160,157,100,#a09d64
28,-18.5,163,160,104,#a3a068
29,-18,165,163,109,#a5a36d
30,-17.5,168,166,113,#a8a671
31,-17,170,169,118,#aaa976
32,-16.5,173,172,122,#adac7a
33,-16,176,175,126,#b0af7e
34,-15.5,178,178,131,#b2b283
35,-15,183,184,140,#b7b88c
36,-14.5,186,187,144,#babb90
37,-14,189,190,148,#bdbe94
38,-13.5,191,193,153,#bfc199
39,-13,194,196,157,#c2c49d
40,-12.5,196,199,162,#c4c7a2
41,-12,199,202,166,#c7caa6
42,-11.5,202,205,170,#cacdaa
43,-11,204,208,175,#ccd0af
44,-10.5,210,212,180,#d2d4b4
45,-10,207,210,180,#cfd2b4
46,-9.5,201,204,180,#c9ccb4
47,-9,198,201,180,#c6c9b4
48,-8.5,195,199,180,#c3c7b4
49,-8,192,196,180,#c0c4b4
50,-7.5,189,193,180,#bdc1b4
51,-7,185,190,180,#b9beb4
52,-6.5,182,187,180,#b6bbb4
53,-6,179,185,180,#b3b9b4
54,-5.5,176,182,180,#b0b6b4
55,-5,173,179,180,#adb3b4
56,-4.5,170,176,180,#aab0b4
57,-4,164,171,180,#a4abb4
58,-3.5,160,168,180,#a0a8b4
59,-3,157,165,180,#9da5b4
60,-2.5,154,162,180,#9aa2b4
61,-2,151,160,180,#97a0b4
62,-1.5,148,157,180,#949db4
63,-1,145,154,180,#919ab4
64,-0.5,148,155,181,#949bb5
65,0,144,152,180,#9098b4
66,0.5,140,149,179,#8c95b3
67,1,136,146,178,#8892b2
68,1.5,128,140,176,#808cb0
69,2,124,137,175,#7c89af
70,2.5,120,134,174,#7886ae
71,3,116,131,172,#7483ac
72,3.5,112,128,171,#7080ab
73,4,108,125,170,#6c7daa
74,4.5,103,121,169,#6779a9
75,5,99,118,168,#6376a8
76,5.5,95,115,167,#5f73a7
77,6,91,112,166,#5b70a6
78,6.5,87,109,164,#576da4
79,7,79,103,162,#4f67a2
80,7.5,75,100,161,#4b64a1
81,8,71,97,160,#4761a0
82,8.5,67,94,159,#435e9f
83,9,65,91,158,#415b9e
84,9.5,67,97,162,#4361a2
85,10,69,104,166,#4568a6
86,10.5,72,111,170,#486faa
87,11,74,118,174,#4a76ae
88,11.5,77,125,178,#4d7db2
89,12,79,132,182,#4f84b6
90,12.5,81,139,187,#518bbb
91,13,86,153,195,#5699c3
92,13.5,89,159,199,#599fc7
93,14,91,166,203,#5ba6cb
94,14.5,94,173,207,#5eadcf
95,15,96,180,212,#60b4d4
96,15.5,98,187,216,#62bbd8
97,16,101,194,220,#65c2dc
98,16.5,103,201,224,#67c9e0
99,17,106,208,228,#6ad0e4
100,17.5,111,214,232,#6fd6e8
101,18,104,214,215,#68d6d7
102,18.5,89,214,179,#59d6b3
103,19,82,214,162,#52d6a2
104,19.5,75,214,144,#4bd690
105,20,67,214,126,#43d67e
106,20.5,60,214,109,#3cd66d
107,21,53,214,91,#35d65b
108,21.5,17,213,24,#11d518
109,22,17,209,23,#11d117
110,22.5,16,205,23,#10cd17
111,23,16,200,22,#10c816
112,23.5,16,196,22,#10c416
113,24,15,188,21,#0fbc15
114,24.5,15,183,20,#0fb714
115,25,14,179,20,#0eb314
116,25.5,14,175,19,#0eaf13
117,26,14,171,19,#0eab13
118,26.5,13,166,18,#0da612
119,27,13,162,18,#0da212
120,27.5,13,158,17,#0d9e11
121,28,12,153,17,#0c9911
122,28.5,12,149,16,#0c9510
123,29,12,145,16,#0c9110
124,29.5,11,136,15,#0b880f
125,30,11,132,14,#0b840e
126,30.5,10,128,14,#0a800e
127,31,10,124,13,#0a7c0d
128,31.5,10,119,13,#0a770d
129,32,9,115,12,#09730c
130,32.5,9,111,12,#096f0c
131,33,9,107,11,#096b0b
132,33.5,8,102,11,#08660b
133,34,8,98,10,#08620a
134,34.5,9,94,9,#095e09
135,35,50,115,8,#327308
136,35.5,70,125,8,#467d08
137,36,91,136,7,#5b8807
138,36.5,111,146,7,#6f9207
139,37,132,157,6,#849d06
140,37.5,152,168,6,#98a806
141,38,173,178,5,#adb205
142,38.5,193,189,5,#c1bd05
143,39,214,199,4,#d6c704
144,39.5,234,210,4,#ead204
145,40,255,226,0,#ffe200
146,40.5,255,216,0,#ffd800
147,41,255,211,0,#ffd300
148,41.5,255,206,0,#ffce00
149,42,255,201,0,#ffc900
150,42.5,255,196,0,#ffc400
151,43,255,192,0,#ffc000
152,43.5,255,187,0,#ffbb00
153,44,255,182,0,#ffb600
154,44.5,255,177,0,#ffb100
155,45,255,172,0,#ffac00
156,45.5,255,167,0,#ffa700
157,46,255,162,0,#ffa200
158,46.5,255,153,0,#ff9900
159,47,255,148,0,#ff9400
160,47.5,255,143,0,#ff8f00
161,48,255,138,0,#ff8a00
162,48.5,255,133,0,#ff8500
163,49,255,128,0,#ff8000
164,49.5,255,0,0,#ff0000
165,50,248,0,0,#f80000
166,50.5,241,0,0,#f10000
167,51,234,0,0,#ea0000
168,51.5,227,0,0,#e30000
169,52,213,0,0,#d50000
170,52.5,205,0,0,#cd0000
171,53,198,0,0,#c60000
172,53.5,191,0,0,#bf0000
173,54,184,0,0,#b80000
174,54.5,177,0,0,#b10000
175,55,170,0,0,#aa0000
176,55.5,163,0,0,#a30000
177,56,155,0,0,#9b0000
178,56.5,148,0,0,#940000
179,57,141,0,0,#8d0000
180,57.5,127,0,0,#7f0000
181,58,120,0,0,#780000
182,58.5,113,0,0,#710000
183,59,255,255,255,#ffffff
184,59.5,255,245,255,#fff5ff
185,60,255,234,255,#ffeaff
186,60.5,255,223,255,#ffdfff
187,61,255,212,255,#ffd4ff
188,61.5,255,201,255,#ffc9ff
189,62,255,190,255,#ffbeff
190,62.5,255,179,255,#ffb3ff
191,63,255,157,255,#ff9dff
192,63.5,255,146,255,#ff92ff
193,64,255,117,255,#ff75ff
194,64.5,252,107,253,#fc6bfd
195,65,249,96,250,#f960fa
196,65.5,246,86,247,#f656f7
197,66,243,75,244,#f34bf4
198,66.5,240,64,241,#f040f1
199,67,237,54,239,#ed36ef
200,67.5,234,43,236,#ea2bec
201,68,231,32,233,#e720e9
202,68.5,225,11,227,#e10be3
203,69,178,0,255,#b200ff
204,69.5,172,0,252,#ac00fc
205,70,164,0,247,#a400f7
206,70.5,155,0,244,#9b00f4
207,71,147,0,239,#9300ef
208,71.5,136,0,234,#8800ea
209,72,131,0,232,#8300e8
210,72.5,121,0,226,#7900e2
211,73,114,0,221,#7200dd
212,73.5,105,0,219,#6900db
213,74,5,236,240,#05ecf0
214,74.5,5,235,240,#05ebf0
215,75,5,234,240,#05eaf0
216,75.5,5,221,224,#05dde0
217,76,5,220,224,#05dce0
218,76.5,5,219,224,#05dbe0
219,77,5,205,208,#05cdd0
220,77.5,5,204,208,#05ccd0
221,78,4,189,192,#04bdc0
222,78.5,4,188,192,#04bcc0
223,79,4,187,192,#04bbc0
224,79.5,4,174,176,#04aeb0
225,80,4,173,176,#04adb0
226,80.5,4,158,160,#049ea0
227,81,4,157,160,#049da0
228,81.5,4,156,160,#049ca0
229,82,3,142,144,#038e90
230,82.5,3,141,144,#038d90
231,83,3,140,144,#038c90
232,83.5,3,126,128,#037e80
233,84,3,125,128,#037d80
234,84.5,3,111,112,#036f70
235,85,3,110,112,#036e70
236,85.5,3,109,112,#036d70
237,86,2,95,96,#025f60
238,86.5,2,94,96,#025e60
239,87,2,79,80,#024f50
240,87.5,2,78,80,#024e50
241,88,2,77,80,#024d50
242,88.5,2,63,64,#023f40
243,89,2,62,64,#023e40
244,89.5,2,61,64,#023d40
245,90,1,48,48,#013030
246,90.5,1,47,48,#012f30
247,91,1,32,32,#012020
248,91.5,1,31,32,#011f20
249,92,1,30,32,#011e20
250,92.5,58,103,181,#3a67b5
251,93,58,102,181,#3a66b5
252,93.5,58,101,181,#3a65b5
253,94,58,100,181,#3a64b5
254,94.5,58,99,181,#3a63b5
255,95,58,98,181,#3a62b5
